,importance
duration,0.4204205167186214
nr.employed,0.24092509574250345
euribor3m,0.07896966401228059
age,0.04672109776870012
pdays,0.028918630926708256
cons.conf.idx,0.02544961069254098
campaign,0.01796767103473855
cons.price.idx,0.014481476464069337
month_oct,0.00970662738851271
poutcome_success,0.00791967820358339
education_university.degree,0.005383599593110373
day_of_week_tue,0.005009615962515661
day_of_week_thu,0.004251118280283581
job_technician,0.004231132081403884
day_of_week_wed,0.004113809280942946
day_of_week_mon,0.004056635433632698
job_admin.,0.0035689727649189
poutcome_failure,0.003092439940611566
job_management,0.0029811234391155642
day_of_week_fri,0.0027020805759786605
education_high.school,0.0025864650020473224
contact_cellular,0.0025489824154578283
education_professional.course,0.002522022962957353
housing_no,0.002453369166481083
default_no,0.0024238779786436805
contact_telephone,0.002407903334453419
marital_single,0.0023679661901498898
education_basic.4y,0.0023633953850745342
education_basic.6y,0.0023578437846786477
education_unknown,0.00235386415400405
default_unknown,0.0022699072963748065
job_unemployed,0.0022046010281237096
previous,0.002188509622167098
emp.var.rate,0.0020404276131528744
job_housemaid,0.001985682297166851
marital_married,0.001944699939985297
job_student,0.001907680955261137
housing_yes,0.0018619696015817321
marital_divorced,0.0018369994094097589
job_services,0.0017628119562000351
job_self-employed,0.001750910544671085
loan_no,0.0017416779978854096
month_jun,0.001718610509699258
education_basic.9y,0.0016932947422150612
month_jul,0.0016461171743966977
job_blue-collar,0.0016152716764541442
loan_yes,0.0015853271109490374
job_retired,0.001440729345400015
month_nov,0.0014314112493476752
job_unknown,0.001330709751421538
month_may,0.001321815433970099
poutcome_nonexistent,0.0013075659998887821
month_apr,0.0012210896610425287
job_entrepreneur,0.0009705299934644738
month_mar,0.0007839053772586265
month_dec,0.0007270939728227949
month_aug,0.0007077171750321429
education_illiterate,0.0006375109271542709
loan_unknown,0.0004152409578428844
housing_unknown,0.0003344189618321313
marital_unknown,0.0002681723159213031
month_sep,9.130272318644857e-05
default_yes,0.0
